Status,Aktör,SvK Id,Ediel Id,EIC,Roll,Adress
Godkänd,Övik Energi Nät AB,182,45700,46X000000000342M,Nätägare,"Box 11, 891 21 ÖRNSKÖLDSVIK"
Godkänd,Övertorneå Energi AB,527,52700,,Nätägare, ESP,"Älvvägen 13, 957 31 Övertorneå"
Godkänd,Östra Kinds Elnät AB,057,45500,46X000000000244M,Nätägare,"Box 6004, 51406 DALSTORP"
Godkänd,Österlens Kraft Elnät AB,121,32200,46X000000000243O,Nätägare,"Testgatan 3, 27236 SIMRISHAMN"
Under test,Öresundskraft Elnät AB,096,40400,46X000000000242Q,Nätägare,"Box 642, 25106 HELSINGBORG"
Godkänd,Åskälen Vindkraft Elnät AB,628,12800,46X000000000341O,Nätägare,"c/o Vasa Vind AB, Garvis Carlssonsg 5, 11tr, 169 51 Solna"
Godkänd,Åsele Elnät AB,715,71500,46X000000000340Q,Nätägare,"Centralgatan 31, 919 31 Åsele"
Godkänd,Årsunda Kraft o Belysningsf,290,46600,,Nätägare,"Hedkarbyvagen 22, 81022 ÅRSUNDA"
Godkänd,Ålem Energi Elnät AB,205,44900,46X000000000339B,Nätägare, ESP,"Råsnäs 103, 38052 Timmernabben"
Godkänd,Ystad Energi Elnät AB,141,40800,46X000000000241S,Nätägare,"Fridhemsgatan 24, 27145 YSTAD"
Godkänd,Växjö Energi Elnät AB,181,39200,46X000000000338D,Nätägare,"Kvarnvägen 35, 35241 VÄXJÖ"
Godkänd,Västra Orusts Energitjänst ek för,061,39100,,Nätägare,"Glimsåsvägen 3, 474 32 ELLÖS"
Godkänd,Västerviks Kraft Elnät AB,139,38800,46X000000000337F,Nätägare,"Box 25, 59321 VÄSTERVIK"
Godkänd,Västerbergslagens Elnät AB,024,38700,46X000000000240U,Nätägare,"Box 860, 77128 LUDVIKA"
Godkänd,Värnamo Elnät AB,137,38600,46X000000000336H,Nätägare,"Box 2268, 33102 VÄRNAMO"
Godkänd,VänerEnergi AB,073,27400,,Nätägare, ESP,"Box 102, 54221 MARIESTAD"
Godkänd,Vindpark Vänern Drift AB,VPV,65800,46X000000000335J,Nätägare,"c/o Ekologisk Energi Elfred AB, Glittne 2, 682 93 Nordmarkshyttan"
Godkänd,Vimmerby Energi Nät AB,792,37920,46X000000000334L,Nätägare,"Förrådsgatan 2, 598 40 VIMMERBY"
Under test,Vattenfall Kraftgården AB,VIN,16405,46X000000000333N,Nätägare,"Vattenkraft, 84073 BISPGÅRDEN"
Godkänd,Vattenfall Eldistribution AB,040,16400,46X0000000002102,Nätägare, Ombud, ESP,", 169 92 STOCKHOLM"
Godkänd,Varbergsortens Elnät AB,177,36900,46X000000000239F,Nätägare, ESP,"Syllingevägen 17, 43020 VEDDIGE"
Godkänd,Varberg Energi Elnät AB,176,36800,46X000000000238H,Nätägare, ESP,"Box 1043, 43213 VARBERG"
Godkänd,Vara Energi ek för,204,41800,,Nätägare,"Box 51, 53421 VARA"
Godkänd,Vallebygdens Energi ek för,203,36500,,Nätägare,"Skaravägen 18, 53272 AXVALL"
Godkänd,Vaggeryds Elverk,201,36400,,Nätägare,"Box 173, 56724 VAGGERYD"
Godkänd,Upplands Energi ek för,192,17800,,Nätägare,"Ramsjövägen 46, 74363 BJÖRKLINGE"
Godkänd,Umeå Energi Elnät AB,306,14300,46X000000000332P,Nätägare,"Box 224, 90105 UMEÅ"
Godkänd,Ulricehamns Energi Elnät AB,263,36100,46X000000000237J,Nätägare,"Box 123, 52323 Ulricehamn"
Godkänd,Uddevalla Energi Elnät AB,360,36010,46X000000000331R,Nätägare,"Strömberget, 45181 Uddevalla"
Godkänd,Töre Energi ek för,175,35800,,Nätägare, ESP,"Hantverksvägen 14, 95040 TÖRE"
Godkänd,Trollhättan Energi Elnät AB,508,50800,46X000000000330T,Nätägare,"Box 933, 46129 TROLLHÄTTAN"
Godkänd,Trelleborg Elnät AB,262,35400,46X000000000329E,Nätägare, ESP,"c/o Trelleborg Kommun, 231 83 TRELLEBORG"
Godkänd,Tranås Energi Elnät AB,352,35320,46X000000000328G,Nätägare, ESP,"Box 386, 573 24 TRANÅS"
Godkänd,Tidaholm Elnät AB,662,66200,46X000000000327I,Nätägare, ESP,"Box 63, 52222 Tidaholm"
Godkänd,Tibro Elnät AB,516,51600,,Nätägare,"Fabriksgatan 10, 54350 Tibro"
Godkänd,Telge Elnät AB,032,34800,46X000000000236L,Nätägare,"Box 633, 15127 SÖDERTÄLJE"
Godkänd,Tekniska verken Linköping Nät AB,105,11900,46X000000000326K,Nätägare,"Box 1500, 58115 LINKÖPING"
Godkänd,Tekniska verken Katrineholm Nät AB,519,51900,46X000000000325M,Nätägare,"Djulögatan 17, 641 21 Katrineholm"
Godkänd,Sörbylunds Elnät HB,514,51400,46X000000000324O,Nätägare,"Sörbylunds Kraftstation, 549 94 Skövde"
Godkänd,Sölvesborgs Elnät AB,130,34700,46X000000000235N,Nätägare,", 29480 SÖLVESBORG"
Godkänd,Södra Hallands Kraft ek för,129,34600,,Nätägare,"Box 63, 31221 LAHOLM"
Godkänd,Söderhamn Elnät AB,128,34500,46X000000000323Q,Nätägare,"Stabbläggargatan 11, 82637 SÖDERHAMN"
Under test,Systemstøtte för Ediel,,91100,,Nätägare, Leverantör, Systemleverantör, Energitjänsteföretag,"Nydalen Alle 33, N-0484 Oslo"
Godkänd,Swedavia AB,634,66340,46X000000000322S,Nätägare,", 190 45 Stockholm-Arlanda"
Godkänd,Svenska kraftnät,SVK,10000,10X1001A1001A418,Nätägare, Leverantör, Balansansvarig part (BRP), Systemleverantör,"Box 1200, 172 24 Sundbyberg"
Godkänd,Sundsvall Elnät AB,126,11800,46X000000000321U,Nätägare,", 851 85 SUNDSVALL"
Godkänd,Sturefors Eldistribution AB,272,47000,46X000000000320W,Nätägare,"Sturefors gård, kontoret, 589 64 STUREFORS"
Godkänd,Stensjön Kraft AB,015,15800,46X000000000319H,Nätägare,"Box 33, 82010 ARBRÅ"
Godkänd,Staffanstorps Energi AB,260,33800,,Nätägare,"Box 74, 24521 STAFFANSTORP"
Godkänd,Sollentuna Elnät AB,171,33500,46X000000000234P,Nätägare, Ombud,"Box 972, 19129 SOLLENTUNA"
Godkänd,Smedjebacken Energi Nät AB,259,33400,46X000000000318J,Nätägare,"SN0001, Box 113, 777 34 SMEDJEBACKEN"
Godkänd,Skövde Energi Elnät AB,423,42300,46X000000000317L,Nätägare,"Box 128, 541 23 Skövde"
Godkänd,Skånska Energi Nät AB,123,33000,46X000000000316N,Nätägare, ESP,"Box 83, 24722 SÖDRA SANDBY"
Godkänd,Skyllberg Elnät AB,288,32900,46X000000000233R,Nätägare,"Skyllbergsvägen 11, 694 99 Skyllberg"
Godkänd,Skurups Elverk AB,258,32800,46X000000000315P,Nätägare, ESP,"Mårtensgatan 3, 27435 SKURUP"
Godkänd,Skellefteå Kraft Elnät AB,013,10600,46X000000000314R,Nätägare,"Box 802, 93180 SKELLEFTEÅ"
Godkänd,Skara Elnät AB,170,32500,46X000000000232T,Nätägare, ESP,", 53288 SKARA"
Godkänd,Sjöbo Elnät AB,122,32400,46X000000000313T,Nätägare,"Ommavägen 26, 275 39 SJÖBO"
Godkänd,Sjogerstads Elektriska Distributionsförening,293,32300,,Nätägare, ESP,"Box 66, 54122 SKÖVDE"
Godkänd,Sjisjka Nät AB,523,52300,46X000000000312V,Nätägare,"c/o O2, Box 2299, 10317 Stockholm"
Godkänd,Sidensjö Vindkraft Elnät AB,528,52800,46X000000000311X,Nätägare,"c/o Nordisk Vindkraft AB, Lilla Bommen 1, 411 04 Göteborg"
