Fee ID,Months,Months Number,Days,Season,Day Restriction,Fuse From,Fuse To,Geolocation -> MGA,Unit,Price Ex Vat,Price Inc Vat,From,To,Multiplier,From2,To2,Multiplier2
1,All,,"M,T,W,T,F,S,S",Summer,,16A,63A,KST,kr/kw,32.58,43.55,0:00,0:00,1,,,
2,All,,"M,T,W,T,F,S,S",,,16A,63A,"AVD,BEV,NBL,DAL,EBN,EKO,FLS,FBA,GRV,GBN,NHA,HAL,HAR,HMM,HMR,HJD,HDV,JDA,KEM,KOB,KUB,LDG,LHD,MOR,NHN,OBO,OCK,ORT,NSK,SSK,STH,STO,TBY,TRS,TRJ,VLB,VAT,VNB,VAL,VML",kr/kw,65,81.25,6:00,22:00,1,22:00,6:00,0.5
3,All,,"M,T,W,T,F,S,S",,,16A,63A,KVM,kr/kw,33.75,45,0:00,0:00,1,,,
4,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,,16A,63A,KHB,kr/kw,24,32,0:00,0:00,1,,,
4,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,,16A,63A,KHB,kr/kw,47.25,63,0:00,0:00,1,,,
5,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,day,16A,63A,KHB,kr/kw,24,32,6:00,23:00,1,,,
5,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,nigth,16A,63A,KHB,kr/kw,8.25,11,23:00,6:00,1,,,
5,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,day,16A,63A,KHB,kr/kw,47.25,63,6:00,23:00,1,,,
5,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,nigth,16A,63A,KHB,kr/kw,12,16,23:00,6:00,1,,,
6,All,,"M,T,W,T,F",,non-holiday,16A,63A,"TLB,VLS",kr/kw,15,18.75,7:00,19:00,1,,,
7,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,,16A,63A,LNK,kr/kw,16.5,22,0:00,0:00,1,,,
7,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,,16A,63A,LNK,kr/kw,32.25,43,0:00,0:00,1,,,
8,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,day,16A,63A,LNK,kr/kw,16.5,22,6:00,23:00,1,,,
8,"April, May, June, July, August, September, October","4,5,6,7,8,9,10","M,T,W,T,F,S,S",Summer,nigth,16A,63A,LNK,kr/kw,6,8,23:00,6:00,1,,,
8,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,day,16A,63A,LNK,kr/kw,32.25,43,6:00,23:00,1,,,
8,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F,S,S",Winter,nigth,16A,63A,LNK,kr/kw,9,12,23:00,6:00,1,,,
9,"January, February, March, November, December","1,2,3,11,12","M,T,W,T,F",Winter,non-holiday,16A,63A,"FLN,FLO",kr/kw,60,75,7:00,19:00,1,,,
10,"January, February, December","1,2,12","M,T,W,T,F",Winter,nigth,200A,,"BJK,HLB,HOR,KPN,LMA,LUN,RSJ,TOS",kr/kw,50,40,7:00,21:00,1,,,
11,All,,"M,T,W,T,F,S,S",,,16A,200A,SDT,kr/kw,24,32,6:00,22:00,1,22:00,6:00,0.5
