Tariff ID,Provider Ediel,Name,Model Name,Description,Number of samples,Time unit,Building types,Geolocation -> MGA
1,24300,Monthly - One single peak,avg_monthly_peaks,Monthly single peak,1,hourly,"detached_house, terraced_house, summer_house",KST
2,14900,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks,3,hourly,"detached_house, terraced_house, summer_house","AVD,BEV,NBL,DAL,EBN,EKO,FLS,FBA,GRV,GBN,NHA,HAL,HAR,HMM,HMR,HJD,HDV,JDA,KEM,KOB,KUB,LDG,LHD,MOR,NHN,OBO,OCK,ORT,NSK,SSK,STH,STO,TBY,TRS,TRJ,VLB,VAT,VNB,VAL,VML"
3,20500,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks multiplied by factor,3,hourly,"detached_house,terraced_house,summer_house",KVM
4,51900,Default Standard fee,avg_monthly_peaks,Average of the 5 monthly highest power peaks,5,hourly,"detached_house,terraced_house,summer_house",KHB
5,51900,Alternative fee,avg_monthly_peaks,Average of the 2 nightly peaks and avarage of the 2 daily highest power peaks,2,hourly,"detached_house,terraced_house,summer_house",KHB
6,39300,Monthly - One single peak,avg_monthly_peaks,Monthly single peak,1,hourly,"detached_house,terraced_house,summer_house, apartments","TLB,VLS"
7,11900,Default Standard fee,avg_monthly_peaks,Average of the 5 monthly highest power peaks,5,hourly,"detached_house,terraced_house,summer_house",LNK
8,11900,Alternative fee,avg_monthly_peaks,Average of the 2 nightly peaks and avarage of the 2 daily highest power peaks,2,hourly,"detached_house,terraced_house,summer_house",LNK
9,19200,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks,3,hourly,"detached_house,terraced_house,summer_house,apartments","FLN,FLO"
10,24700,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks,3,hourly,"detached_house,terraced_house,summer_house","BJK,HLB,HOR,KPN,LMA,LUN,RSJ,TOS"
11,36800,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks,3,hourly,"detached_house,terraced_house,summer_house,apartments",SDT
12,11100,Standard fee,avg_monthly_peaks,Average of the 3 highest power peaks,3,hourly,"detached_house,terraced_house,summer_house",BRS
13,39200,Standard fee,avg_monthly_peaks,Average of the 3 highest daily power peaks,3,hourly,"detached_house,terraced_house,summer_house",VXO
