DSO Name;DSO Code;Coding Scheme;Country
Affärsverken Elnät AB;24200;NSE;SE
Ale El Elnät AB;16600;NSE;SE
Ålem Energi Elnät AB;44900;NSE;SE
Alingsås Energi Elnät AB;16700;NSE;SE
Almnäs Elnät AB;16800;NSE;SE
Alvesta Elnät AB;16900;NSE;SE
Arise Elnät AB;51800;NSE;SE
Årsunda Kraft-o Belysningsförening Upa;46600;NSE;SE
Arvika Elnät AB;17000;NSE;SE
Åsele Elnät AB;71500;NSE;SE
Åskälen Vindkraft Elnät AB;12800;NSE;SE
Baltic Cable AB;51300;NSE;SE
Bengtsfors Energi Nät AB;17300;NSE;SE
Bergs tingslags elektriska AB;17400;NSE;SE
Billerud Skog & Industri AB;44300;NSE;SE
Bjäre Kraft Elnät AB;17600;NSE;SE
Bjärke Energi Ek. För.;17700;NSE;SE
Blåsjön Nät AB;14500;NSE;SE
Bliekevare Nät AB;51700;NSE;SE
Boda Nät ekonomiska förening;18300;NSE;SE
Bodens Energi Nät AB;17900;NSE;SE
Boo Energi ek. för;18100;NSE;SE
Borgholm Energi Elnät AB;18200;NSE;SE
Borlänge Energi Elnät AB;18400;NSE;SE
Brännliden Nät AB;15700;NSE;SE
Brittedals Elnät ek för;18700;NSE;SE
Brobacken Nät AB;65930;NSE;SE
Bromölla Energi & Vatten AB;18800;NSE;SE
C4 Elnät AB;24800;NSE;SE
Carlfors Bruk AB;45800;NSE;SE
Dala Energi Elnät AB;25800;NSE;SE
Degerfors Elnät AB;18900;NSE;SE
Dragaliden Net AB;52100;NSE;SE
Eksjö Elnät AB;19400;NSE;SE
Ellevio AB;14900;NSE;SE
Emmaboda Elnät AB;19500;NSE;SE
E.ON Energidistribution AB;16000;NSE;SE
Eskilstuna Energi och Miljö Elnät AB;19800;NSE;SE
Falbygdens Energi Nät AB;39600;NSE;SE
Falkenberg Energi Elnät AB;39700;NSE;SE
Falu Elnät AB;19200;NSE;SE
Filipstad Energinät AB;39900;NSE;SE
Fortum Sverige AB;40900;NSE;SE
Gabrielsberget Net AB;52200;NSE;SE
Gävle Energi Elnät AB;20400;NSE;SE
Gislaved Energi Elnät AB;19900;NSE;SE
Göteborg Energi Nät AB;20500;NSE;SE
Götene Elförening;20600;NSE;SE
Gotlands Elnät AB;11220;NSE;SE
Grästorp Energi ek för;20300;NSE;SE
Habo Energi Kraft AB;46300;NSE;SE
Hallstaviks Elverk ek för;21100;NSE;SE
Halmstads Energi och Miljö Nät AB;21200;NSE;SE
Härjeåns Nät AB;43600;NSE;SE
Härnösand Elnät AB;22600;NSE;SE
Härryda Energi AB;22700;NSE;SE
Havsnäs Elnät AB;52000;NSE;SE
Hedemora Energi AB;21400;NSE;SE
Herrljunga Elnät AB;21600;NSE;SE
Hjärtums Elförening ek för;21800;NSE;SE
Hjo Elnät AB;21700;NSE;SE
Höganäs Energi Elnät AB;22900;NSE;SE
Holmen Energi Elnät;64920;NSE;SE
Jämtkraft Elnät AB;42900;NSE;SE
Jönköping Energi Nät AB;23600;NSE;SE
Jukkasjärvi Sockens Belysningsförening;23300;NSE;SE
Kalmar Energi Elnät AB;23800;NSE;SE
Karlsborgs Elnät AB;23900;NSE;SE
Karlshamn Elnät AB;24000;NSE;SE
Karlskoga Elnät AB;24100;NSE;SE
Karlstads Elnät AB;24300;NSE;SE
Karskruv Nät AB;47400;NSE;SE
Kraftnät Åland (SE);82990;NSE;SE
Kraftringen Nät AB;24700;NSE;SE
Kristinehamns Elnät AB;24900;NSE;SE
Kungälv Energi AB;25200;NSE;SE
Kvänumbygdens Energi ek. för;25500;NSE;SE
Kvarnforsen Nät AB;65900;NSE;SE
Landskrona Energi AB;25600;NSE;SE
Lehtirova Nät AB;71730;NSE;SE
Lerum Nät AB;25900;NSE;SE
LEVA Nät AB;27200;NSE;SE
Lidköping Elnät AB;26200;NSE;SE
Linde Energi Elnät AB;26300;NSE;SE
Ljungby Energinät AB;26400;NSE;SE
Ljusdal Elnät AB;26500;NSE;SE
LKAB Nät AB;13800;NSE;SE
Luleå Energi Elnät AB;11600;NSE;SE
Mälarenergi AB;40100;NSE;SE
Mälarenergi Elnät AB;39300;NSE;SE
Malung-Sälens Elnät AB;27300;NSE;SE
Marhult Nät AB;13500;NSE;SE
Markbygden Net AB;15200;NSE;SE
Markbygden Net Väst AB;52900;NSE;SE
Mellerst Skånes Kraft, ek för;27600;NSE;SE
Mjölby Kraftnät AB;27700;NSE;SE
Mölndal Energi Nät AB;28300;NSE;SE
Nacka Energi AB;28500;NSE;SE
Näckåns Elnät AB;29800;NSE;SE
Nässjö Affärsverk Elnät AB;10300;NSE;SE
Nätkraft Borås Infra AB;11100;NSE;SE
